,intervals,function_type,approximation_error,solve_time,total_cost,total_emissions
0,3,quadratic,3.092146745674745,0.049546241760253906,827840.0729050084,11181.136658497298
1,3,exponential,11.938808043063718,0.05696606636047363,637705.4308605285,417.0701590863222
2,3,logarithmic,39.824923283456755,0.05272483825683594,658763.0683080661,1672.3712533303487
3,5,quadratic,0.8291271737817503,0.05959200859069824,820836.1053325164,10790.130318980657
4,5,exponential,3.3660293753688135,0.06316685676574707,636840.8035751557,359.7122352495488
5,5,logarithmic,33.77831000334856,0.06444096565246582,668936.2323807131,2277.5558368933716
6,7,quadratic,0.6071696871944744,0.07508540153503418,819181.8161396994,10764.388338230516
7,7,exponential,1.9505770417112223,0.07476234436035156,636686.5706676248,350.2479418877026
8,7,logarithmic,28.72761355331683,0.07717514038085938,677391.3587880299,2783.393798534027
9,10,quadratic,0.1642936621003596,0.08947157859802246,818261.9879413026,10681.991510907998
10,10,exponential,1.0076761299709271,0.08852434158325195,636582.7482342497,343.9438930941407
11,10,logarithmic,22.548745374189497,0.09066462516784668,687731.9613939245,3402.2450645810327
12,15,quadratic,0.07947308080637959,0.11751914024353027,817860.8361638545,10669.143071664812
13,15,exponential,0.42252281940964653,0.11730098724365234,636517.9914280641,340.0318465438853
14,15,logarithmic,14.65074917565985,0.12754416465759277,700942.1896502463,4193.335282908003
